equipo,goles_totales,partidos_jugados,partidos_ganados,posicion_final
River Plate,50,27,19,1
Talleres,42,27,14,2
San Lorenzo,24,27,12,3
Lanus,38,27,12,4
Estudiantes,35,27,12,5
Defensa y Justicia,36,27,11,6
Boca Juniors,33,27,13,7
Rosario Central,31,27,10,8
Godoy Cruz,29,27,9,9
Argentinos Juniors,30,27,9,10
Belgrano,27,27,8,11
Racing Club,36,27,9,12
Platense,23,27,8,13
Instituto,26,27,8,14
Tigre,24,27,7,15
Newells Old Boys,22,27,7,16
Barracas Central,25,27,6,17
Union,21,27,6,18
Banfield,20,27,5,19
Sarmiento,19,27,5,20
Central Cordoba,18,27,5,21
Independiente,24,27,6,22
Huracan,18,27,4,23
Gimnasia LP,17,27,4,24
Colon,16,27,4,25
Atletico Tucuman,15,27,3,26
Velez Sarsfield,14,27,3,27
Arsenal,12,27,2,28
